segment_id,level_rule_id,level,level_score,computed_at
SEG_000258,1,1,29.8,2026-02-16 01:31:59
SEG_000259,1,1,29.8,2026-02-16 01:31:59
SEG_000260,1,1,29.8,2026-02-16 01:31:59
SEG_000261,1,2,32.5,2026-02-16 01:31:59
SEG_000262,1,2,32.5,2026-02-16 01:31:59
SEG_000263,1,3,53.5,2026-02-16 01:31:59
SEG_000264,1,1,31.0,2026-02-16 01:31:59
SEG_000265,1,2,40.2,2026-02-16 01:31:59
SEG_000266,1,1,29.8,2026-02-16 01:31:59
SEG_000267,1,2,31.2,2026-02-16 01:31:59
SEG_000268,1,3,55.0,2026-02-16 01:31:59
SEG_000269,1,1,29.8,2026-02-16 01:31:59
SEG_000270,1,3,56.5,2026-02-16 01:31:59
SEG_000271,1,3,56.5,2026-02-16 01:31:59
SEG_000272,1,3,56.3,2026-02-16 01:31:59
SEG_000273,1,2,34.2,2026-02-16 01:31:59
SEG_000274,1,3,54.8,2026-02-16 01:31:59
SEG_000275,1,3,57.8,2026-02-16 01:31:59
SEG_000276,1,3,44.8,2026-02-16 01:31:59
SEG_000277,1,3,50.5,2026-02-16 01:31:59
SEG_000278,1,3,50.5,2026-02-16 01:31:59
SEG_000279,1,3,53.5,2026-02-16 01:31:59
SEG_000280,1,3,52.0,2026-02-16 01:31:59
SEG_000281,1,2,33.0,2026-02-16 01:31:59
SEG_000282,1,2,33.0,2026-02-16 01:31:59
SEG_000283,1,2,33.0,2026-02-16 01:31:59
SEG_000284,1,2,33.0,2026-02-16 01:31:59
SEG_000285,1,2,33.0,2026-02-16 01:31:59
SEG_000286,1,1,29.2,2026-02-16 01:31:59
SEG_000287,1,1,29.2,2026-02-16 01:31:59
SEG_000288,1,2,35.5,2026-02-16 01:31:59
SEG_000289,1,2,35.5,2026-02-16 01:31:59
SEG_000290,1,3,43.0,2026-02-16 01:31:59
SEG_000291,1,2,33.0,2026-02-16 01:31:59
SEG_000292,1,2,33.0,2026-02-16 01:31:59
SEG_000293,1,2,33.0,2026-02-16 01:31:59
SEG_000294,1,2,35.5,2026-02-16 01:31:59
SEG_000295,1,2,33.0,2026-02-16 01:31:59
SEG_000296,1,2,33.0,2026-02-16 01:31:59
