지점명,원본주소,검색쿼리,lat,lon,변환주소,검색방식,기준연도,사고건수,사망자수,중상자수,경상자수,다발도,심각도,통합지수,주요사고유형
개나리아파트사거리,개나리아파트사거리,서울 강남구 개나리아파트사거리,37.49853800589724,127.04470684721058,서울 강남구 역삼동 806,keyword,2022,44,0,11,42,5.17,6.77,6.13,추돌(진행중)
차병원 사거리,차병원 사거리,서울 강남구 차병원 사거리,37.50712635894,127.033984398915,서울 강남구 역삼동 800-3,keyword,2022,65,0,14,74,8.17,10.67,9.67,측면직각충돌
삼성제일빌딩 앞 사거리,삼성제일빌딩 앞 사거리,서울 강남구 삼성제일빌딩 앞 사거리,37.5068365762856,127.056595204405,서울 강남구 대치동,keyword,2022,71,0,22,70,9.53,12.13,11.09,차대차-기타
선릉역 사거리,선릉역 사거리,서울 강남구 선릉역 사거리,37.50466791129874,127.04836013120637,서울 강남구 역삼동 705-19,keyword,2022,41,1,13,40,5.7,7.37,6.7,측면직각충돌
수서역사거리,수서역사거리,서울 강남구 수서역사거리,37.487318173233,127.103106714252,서울 강남구 수서동 724,keyword,2022,48,0,11,52,5.43,7.77,6.83,추돌(진행중)
신논현역 부근 사거리(서쪽),신논현역 부근 사거리(서쪽),서울 강남구 신논현역 부근 사거리(서쪽),,,,failed,2022,21,0,3,24,2.3,3.1,2.78,추돌(진행중)
역삼역 부근(동쪽),역삼역 부근(동쪽),서울 강남구 역삼역 부근(동쪽),37.51542023286615,127.05113154730253,서울 강남구 삼성동 188,keyword,2022,45,0,5,48,4.97,5.97,5.57,차대차-기타
상록회관우체국 앞 사거리(북서),상록회관우체국 앞 사거리(북서),서울 강남구 상록회관우체국 앞 사거리(북서),,,,failed,2022,9,0,0,8,0.8,0.8,0.8,추돌(진행중)
르네상스호텔 사거리,르네상스호텔 사거리,서울 강남구 르네상스호텔 사거리,37.50149578339365,127.04288443883809,서울 강남구 역삼동 720-25,keyword,2022,5,0,0,6,0.5,0.6,0.56,차대차-기타
삼릉공원사거리,삼릉공원사거리,서울 강남구 삼릉공원사거리,37.5101252233604,127.043938988681,서울 강남구 삼성동,keyword,2021,36,1,8,32,4.57,5.4,5.07,보도통행중
선릉역 부근 (10번출구 동쪽),선릉역 부근 (10번출구 동쪽),서울 강남구 선릉역 부근 (10번출구 동쪽),,,,failed,2021,41,0,8,38,4.93,5.67,5.37,차대사람-기타
매봉터널 사거리,매봉터널 사거리,서울 강남구 매봉터널 사거리,,,,failed,2021,34,0,6,49,3.87,6.3,5.33,차대차-기타
국민연금빌딩 부근 삼거리(동쪽),국민연금빌딩 부근 삼거리(동쪽),서울 강남구 국민연금빌딩 부근 삼거리(동쪽),,,,failed,2021,39,0,7,62,4.57,7.83,6.53,추돌(진행중)
구역삼세무서,구역삼세무서,서울 강남구 구역삼세무서,,,,failed,2021,47,0,9,47,5.13,6.8,6.13,차대차-기타
서울세관 사거리,서울세관 사거리,서울 강남구 서울세관 사거리,37.5153899579494,127.035390744948,서울 강남구 논현동,keyword,2021,40,0,7,56,4.83,7.23,6.27,추돌(진행중)
매봉역 사거리,매봉역 사거리,서울 강남구 매봉역 사거리,,,,failed,2021,33,0,17,25,5.2,6.47,5.96,차대차-기타
